ステージ管理人,Stage Manager
トントケ,Tontoke
老師レタラ,Master Retara
キチェ,Kiche
イフカ,Ifuka
ヨンジャ,Yonja
アザユミ,Azayumi
ユーチャーリン,Ucharin
ノマ,Noma
イズナ,Izuna
ヒビキ,Hibiki
シャク,Shaku
リョクテ,Ryokute
師トヨホロ,Master Toyohoro
イココ,Ikoko
師コウ,Mstr Kou
がいこつ,Skeleton
妖剣士オーレン,Swordmaster Oren
悪鬼ゾンガロン,Demon Zongalon
妖魔ジュリアンテ,Mystical Juliante
呪術師マリーン,Monstrous Malynn
ナスビナーラ,Woebergine
怪獣プスゴン,Monster Pusgon
怪蟲アラグネ,Araniad
若葉の精霊,Leaf Spirit
怪盗ポイックリン,Phantom Thief Poiclin
城主ダストン,Lord Duston
小舟,Boat
ガラス瓶,Glass Bottle
ヒューザの剣,Hyuza's Sword
ゴゴガ,Gogoga
シロキ,Shiroki
ポツコン,Junker
スズ,Suzu
リン姫,Princess Lynn
パーツ無テスト,No Parts Test
不思議な扉銀の丘,Strange Silver Door
アルウェノート,Alwa Note
空中ブランコ,Trapeze
ホッツィ親方,Boss Hottsi
チャルコ,Chalko
クッチェ,Kucche
ルンタタ,Runtata
ムチェ,Mutch
ブチャ,Butcher
セッチュ,Secchu
大怨霊マアモン,Grudge Sludge
ウルベア魔神兵,Urbea Aztech
オーガ大国,Ogre Nation
よび,Prep
オーガ出身,Ogre Homeland
オーガ小国,Ogre Land
エルフ出身,Elf Homeland
ウェディ出身,Weddie Homeland
ウェディ小国,Weddie Land
ドワーフ出身,Dwarf Homeland
ドワーフ小国,Dwarf Land
プクリポ出身,Pukulipo Homeland
プクリポ小国,Pukulipo Land
カット,Cart
旅の扉実験,Test Travel Door
宿屋,Inn
教会,Church
よろず屋１,General Shop 1
よろず屋２,General Shop 2
よろず屋３,General Shop 3
預託販売商人,Deposit Merchant
道具屋,Item Shop
預かり所,Depository
美容院,Salon
郵便局,Post Office
採掘ギルド,Mining Guild
武器鍛冶ギルド,Weaponsmith Guild
ランプ錬金ギルド,Lamp Alchemy Guild
チリ,Chiri
ドゥラ院長,Director Dura
ウラード国王,King Woolard
ラミザ王子,Prince Ramiza
チオルタ,Chiolta
チャンゲ,Chang-e
ボッチャ,Boccha
デツァ,Detza
フミイミ,Fumiimi
ツィベル,Tzibel
ましょううお,Salamangler
天魔クァバルナ,Kukulkannibal
ルナナの杖,Lunana's Staff
ほ乳ビン,Baby Bottle
折れたオール,Broken Oar
オール,Oar
感情アイコン,Emoticon
セトリー村長,Chief Setorii
バルチャ,Balcha
マーゼッタ,Marzetta
キンナー調査員,Detective Kinner
バーセル,Barsell
ブーマン,Booman
ケリーヌ,Celine
キャット・リベリオ,Cat Rebelio
オーディス王子,Prince Odis
セーリア,Celia
キャスラン,Cathlan
メルー公,Lord Meru
詩歌の守り手,Elegiac Crablet
暴君バサグランデ,Tyrant Bogan
女王ディオーレ,Queen Diore
キャット・マンマー,Cat Momma
ホホップ,Hohoppu
ハカル,Hakal
ヒーピ,Hippi
フッタ,Footer
ヒッペル,Hippel
ホーパフ,Houpuff
悪魔ザイガス,Duke Sigras
アルウェ王妃,Queen Alwa
万年筆,First Pen
リュート通常,Normal Lute
リュート発光,Glowing Lute
カーシュ,Kirsch
ティーティ,Teatea
マーディ,Maddie
デービス,Davis
ハルディー,Hardy
スージン,Suujin
ネーキィ,Necky
エーナ,Ena
ウオーテ,Ouette
プノッペ,Punoppe
マリーブ,Mariib
ランシー,Ranshii
テトミー,Tetomii
モーズル,Mauzel
コペロー,Copello
シャーレ,Sharlet
サイウー,Saiuu
ザハノー,Zahanot
ゼルバド,Zelbad
ミュベス,Mubes
ミャルザール,Myarzar
ニャンデミト,Cat Demito
クーレェ,Clay
賢者ブロッゲン,Sage Broggen
グロリスの花,Gloris Flower
グロリスの木,Gloris Tree
ニンチャイ,Ninchai
チチェ,Chiche
ナツィ,Nutsy
ココン,Kokon
ママリ,Mamari
ヨッチャ,Yoccha
イヒチィ,Ihichi
ウウラ,Uura
ツィケラ,Tzikla
スチャン,Suchan
ウーラー,Woola
ジロチャ,Jirocha
ガチュ,Gache
サホホ,Sahoho
ウチャカ,Uchaka
虫取り網,Bug Net
緑の石版,Green Tablet
プディン,Pudin
ダイダガ,Daidaga
フクサ,Fukusa
ハッペン,Happen
フポット,Fupott
ヘヘッポ,Heheppo
ホホッパ,Hohoppa
ヒラッペ,Hirappe
魔兵ヒプノス,Hypnos
魔兵タナト,Thanatos
魔軍師イッド,Tactician Id
ホッパ,Hoppa
ブロッゲンの杖,Broggen's Staff
ツィンマ,Tzinma
ククン,Kukun
カッカ,Kakka
イイナ,Iina
ピナッツ,Peanuts
ルチャペ,Luchappe
バルバ,Barba
アッチャ,Accha
ヤヤン,Yayan
ヅッシュ,Dush
ツェン,Tzen
メンメ,Menme
ドゥブラ,Dubla
リイチェ,Riiche
ツーゴ,Tsuugo
ノロ,Noro
ガッパグ,Gappag
チョマ,Choma
フフ,Fufu
ビッチョ,Biccho
ムムウ,Mumuu
チャタ,Chata
チャッチャ,Chacha
ササワ,Sasawa
ドチン,Dochin
チャンナ,Channa
ルーツ,Roots
ダルル,Darul
魔瘴石小,Miasma Gem S
魔瘴石大,Miasma Gem L
魔瘴石大布,Miasma Gem Rag
太陽の石小,Small Sun Stone
賢者ホーロー,Sage Hollow
お札,Amulet
魔瘴石小粒,Miasma Gem Dust
魔瘴石多,Miasma Gem D
太陽石多,Sun Stone D
太陽石少,Sun Stone S
太陽の石大,Sun Stone L
ウェディカヌー,Weddie Canoe
シシリス,Shishirisu
トゥロイ,Tulloi
チュメイ,Chumei
ファッチョ,Faccho
タタラナ,Tatarana
テテナ,Tetena
ハンママ,Hanmama
マクリマ,Makurima
ノッティラ,Nottira
マサッツィ,Masattzi
バマパ,Bamapa
エルル,Erule
アルル,Arle
コッティ,Kotti
ミライ,Mirai
ティパ,Tipa
バトゥ,Batu
ゴッデム,Goddem
スコーリア,Scollia
ジュシル,Jushle
ガンジョウ,Ganjou
ヌヌィット,Nunuit
トゥンブク,Thunbuck
マオオミ,Maoomi
バッチョ,Baccho
クク,Kuku
コリリオ,Koririo
バリリア,Bariria
トカチェ,Tokache
ロロン,Roron
ゼゼッツ,Zezettsu
ルルティマ,Rurutima
ファフリト,Fafrit
カカレク,Kakareku
トゥダ,Tudor
ジジョ,Jijo
パディン,Patin
フィルディ,Fildi
アイヤイ,Ayai
ホッポン,Hoppon
ホラッペン,Horappen
ギガーデ,Gigarde
ヒッピャペ,Hippyape
フルッポ,Furuppo
ホープホ,Hoopuho
ハーポッポ,Hapopo
ヒヒッポフ,Hihippofu
ヘルーペ,Heruupe
ヘーピ,Heppi
ハーレポ,Harrepo
ヒプット,Hiputto
ヘッチャーフ,Hetchaffe
フッフプ,Fuffupu
ホホーペイ,Hohoupei
ギャンドル,Gandle
ハーピナ,Happina
イナニワ,Inaniwa
サラシナ,Sarashina
フペッポ,Fupeppo
ビトーニ,Bitouni
エスミー,Esumii
ヒューリ,Hurri
サルマーク,Sarmark
クゥーン,Koun
テモシー,Temoshie
ウィーマ,Wiema
ダムトー,Damutou
オトリ,Otori
ゴッチェ,Gocce
ケーモス,Keimos
ユニィー,Yunii
ノーチャ,Noucha
ピミム,Pimimu
ヌーベル,Noubel
ケズーム,Kezuum
ヤーゴル,Yargol
サラヤ,Saraya
アルエロ,Aruero
アムート,Amuuto
ヨーレィ,Yourie
ソネーゼ,Soneize
オダーツ,Odarts
キャソー,Kyasso
シームル,Shiimuru
リディー,Ridie
コーネン,Kounen
ヒサーゴ,Hisarg
ルブーチ,Rubucci
カナトー,Kanatou
ホミーネ,Homina
ネフネー,Nefney
パッテーラ,Patella
サーレン,Sarren
エリーゴ調査員,Detective Eriego
ネーモン調査員,Detective Neymon
アールビ,Alrubi
ケィニー,Kinie
列車内ホーロー,Passenger Hollow
人間姿奪還,Human Retrieval
ラスト前,Next to Last
ネルゲル討伐,Suppressed Nergal
エルフ大国,Elf Nation
０６ＭＳ開始,06MS Start
ドワーフ大国,Dwarf Nation
プクリポ大国,Pukulipo Nation
オフライン１,Offline 1
オフライン２,Offline 2
ラッカラン島,Luckland Island
レンドア島,Lendor Island
ウェディ大国,Weddie Nation
インディヴィテスト,Indivi Test
ギミックテスト,Gimmick Test
チーム大使,Team Ambassador
ダンツ,Dantz
バベット,Babett
ガッド,Guard
フィーフィ,Fifi
プンスコのソファー,Punsuko's Sofa
謎の光,Mystery Light
冥獣王ネルゲル,Beast Lord Nergal
岩群,Quarry
お箸,Chapstick
おでん,Oden
弁当外のみ,Outdoor Lunch
弁当中身あり,Filled Lunchbox
リタの木,Rita Tree
ナブレット,Nablette
ホーローの杖,Hollow's Cane
車掌,Driver
花摘みギルド,Flower Pick Guild
木こりギルド,Woodcutter's Guild
防具鍛冶ギルド,Armorsmith Guild
道具鍛冶ギルド,Toolsmith Guild
木工ギルド,Woodwork Guild
さいほうギルド,Sewing Guild
釜錬金NPC,Pot Alchemy NPC
武器屋,Weapon Shop
防具屋,Armor Shop
ツボ錬金,Pot Alchemy
旅のコンシェルジュ,Travel Concierge
メダル交換NPC,Medal Trader NPC
コロシアムエントリ,Coliseum Entry
コロシアムMS受付,Coliseum MS Reception
コロシアム対戦終了,Coliseum Match End
顔アクセ検証君,Verify Facial Accessory
グルドス,Geldos
マルポイ,Malpoi
レイダメテス瓦礫,Reidametes Rubble
過去グレン扉,Past Glen Door
アバの杖,Abba's Cane
エルジュ,Erju
シオドーア,Theodore
ヤクル,Yakuru
ベルンハルト,Bernhardt
カイ,Kai
ウォルダン,Wellden
ペリドット,Peridot
コーデリア,Cordelia
マグダ,Magda
アスライ,Aslai
リネン,Rinen
モルゲン,Morgen
ガザル,Gazalle
ゴブレリ,Gobleri
ジャンガ,Janga
トロフィー,Trophy
プンスコのつぼ,Punsuko's Vase
サーカスボール,Circus Ball
畳まれた魔法布,Folded Magic Cloth
魔瘴石小布,Miasma Gm S Rag
楽器,Instrument
破邪舟,Holy Ship
島主ゴーレック,Island Chief Golek
クラノッホ,Kuranohho
隊長ウェルナー,Commander Werner
テカカ,Tekaka
リマ,Rima
ロイス,Roisu
ランディ,Randy
リヒター,Richter
リボック,Reebok
ドルゴス,Dorgus
ロウマン,Rowman
ハーク,Hark
ハロルド,Harold
カモイ,Kamoi
グララ,Grala
オーランド,Ourand
ケセト,Kesette
ラトラ,Ratra
イサキ,Isaki
テテケ,Teteke
セルマ,Selma
トランド,Torand
ポムレ,Pomre
ペレッポ,Pereppo
ボーラス,Bouras
サーラ,Saara
ハプキム,Hapukim
ミレル,Mirelle
ジーハ,Jiiha
リム,Rim
エルバイン,Erbaine
ゾンダルク,Zondark
ヒイラギ,Hiiragi
ティモシー,Timothy
ハンス,Hans
氷鳥のはね,Icebird Feather
大地の方舟先頭,Ark of the Earth Lead
駅員の笛,Train Whstle
瓦礫群,Debris
リンドウ,Rindou
ドン・ムスチョ,Don Mascho
ミレイ,Mirei
ハキン,Hakin
ヤマバト,Yamabato
ユヤ,Yuya
ネギシ,Negishi
プルップ,Puruppu
スーイー,Suuie
ダツィト,Datzit
ネイイ,Nei
ハギ,Hagi
ベニバナ,Benibana
イヨッペ,Iyoppe
ツバキ,Tsubaki
ニシキ,Nishiki
パルペペ,Parupepe
ナギハ,Nagiha
ヤナギ兵士長,Captain Yanagi
ヨホホン,Yohohon
コニン,Konin
ハパリーパ,Hapariipa
チャヌジャ,Chanujah
ピピポフ,Pipipoff
ヘペーリャ,Hepeyrya
カスガイ,Kasugai
ポフッポ,Pofuppo
ポポーペ,Popoupe
フプーム,Fupuumu
ポラパン,Porapan
ヒピペナ,Hipipena
ペーフミャ,Pehfumya
ホポンパン,Hoponpan
ホホーレン,Hohouren
ポッペプッペ,Poppepuppe
ハパハフ,Ha-Pa-Ha-Hu
ギョリガ,Gyoriga
ゴーガ,Gorga
プルフリ,Purufuri
ペフペ,Pefupe
ピリヒナ,Pirihina
ペペロン,Pepperon
ヒューポン,Hyuupon
パララヒ,Pararahi
ピヒフ,Pihifu
ポップミ,Poppumi
ハリハリャ,Hariharya
ハパーヒン,Hapaahin
フッフッリ,Fuffurri
フゥーペイン,Foupaine
パハペノ,Pahapeno
プフフ,Pufufu
ヒッペイ,Hippei
ペレレパ,Pererepa
ポホフ,Pohoff
ポイハ,Poiha
ヒルピー,Hirupii
ピイヒ,Piihi
ポリリ,Poriri
ガグギャン,Gagugyan
キャウフ,Kyaufu
人間女,Woman
エルフ女,Elf F
オーガ女,Ogre F
ウェディ女,Weddie F
ドワーフ女,Dwarf (F)
人間男,Man
エルフ男,Elf M
オーガ男,Ogre M
ウェディ男,Weddie M
ドワーフ男,Dwarf (M)
暗黒大樹の番人,Dark Tree Guardian
時の車掌ゼーベス,Conductor of Time, Zebes
マトフ,Matoff
コレット,Colette
フリオ,Furio
モラ,Mora
フーゴ,Fuugo
クリステ,Kriste
ボスター,Boster
ジル,Jiru
ルドガー,Rudger
クラウス,Klaus
アンジェ,Anje
ペテリ,Petri
カルメン,Carmen
クララ,Clara
ハンナ,Hanna
ボトラ,Botora
ヘザー,Heather
ヨーゼフ,Yosef
ヘンリク,Heinrich
アロ,Aro
エリク,Eric
ジュリ,Julie
ミルハ,Milha
ポンメル,Pommel
バトー,Batou
ホル,Horu
ジョナ,Jonah
クレア,Claire
ルイス,Luis
マーカス,Marcus
ガウラド,Gaurad
ヤーン,Yarn
ラズバーンの鎖,Razburn's Chain
スワンボート鳥,Swan Boat Bird
シスター・ララニ,Sister Rarani
宿屋メメル,Innkeep Memel
預かり所ススラ,Storage Slurp
郵便局員マトト,Postman Matoto
建物屋クアメル,Builder Kuamel
家具屋ツアロム,Furniture Shop Tuarom
案内係タタン,Guide Tatan
シスター・ヤチヨ,Sister Yachiyo
宿屋ノギク,Innkeep Nogik
預かり所サガラ,Storage Sagara
郵便局員アマト,Postman Amato
建物屋モエギ,Builder Moegi
家具屋トキワ,Furniture Shop Tokiwa
案内係アカネ,Guide Akane
イヴロム神父,Father Ivrom
宿屋ロジェ,Innkeep Roje
預かり所グルバン,Storage Gureban
郵便局員ルジアダ,Postman Rujiada
建物屋アレグム,Builder Aregum
家具屋ルブタ,Furniture Shop Rubuta
案内係ズワルド,Guide Zwald
シャペル神父,Father Sharpel
宿屋パリエス,Innkeep Paries
預かり所ペイジー,Storage Page
郵便局員ピリケ,Postman Pirike
建物屋ペルホネン,Builder Pelhonen
家具屋プッチ,Furniture Shop Pucci
案内係ペルピ,Guide Perupi
アーシー神父,Father Arshie
宿屋ルシール,Innkeep Lucille
預かり所マーユ,Storage Maayu
郵便局員ジェノール,Postman Gennault
建物屋ルバート,Builder Rubart
家具屋アーダン,Furniture Shop Ardan
案内係エーリア,Guide Alia
大工チョリス,Carpenter Chorus
庭職人クナナ,Court Staff Kunana
管理人リーゼ,Caretaker Lyse
ターリー,Tarley
ヒメア,Himea
ムール,Moule
イソホ,Isoho
パーフ,Puff
ガル,Garu
ボンド,Bond
ビルモレ,Bilmorey
ドミラ,Domira
ボチョ,Bocho
レツツ,Retsutsu
チャルダ,Charda
フルッカ,Fluka
ボンガフ,Bongaf
レギオン,Legion
ゲルズ,Gerz
ジーバス,Jeevas
ダゴイ,Dagoi
アガペイ,Agapei
ゴルボ,Gorbo
キョロ,Kyoro
ビゴル,Bigol
宿屋ザラン,Innkeep Zaran
ダズボ神父,Father Dazubo
郵便局員ボスタ,Postman Boster
預かり所クローブ,Storage Clove
道具屋グッタ,Item Shop Getta
武器屋ソロリ,Weapon Shop Sorori
防具屋タラリ,Armor Shop Tarari
マスター・ラセド,Master Rasedo
シャナン,Shannon
ザック,Zach
紹介人トリン,Introducer Torin
ヴィク神父,Father Vic
宿屋ミュル,Innkeep Mule
預かり所ボリバル,Storage Boliver
紹介人ガーゴ,Introducer Gargo
駅員ジガンバ,Attendant Jiganba
駅員ジャルジャ,Attendant Ja Ja
取引商イジウス,Trader Ijius
案内係ビョルン,Guide Bjorn
神官グイブ,Priest Guive
ポコア神父,Father Pokoa
宿屋ピィピ,Innkeep Pippi
預かり所パリュス,Storage Paruse
ガンテツ,Gantetz
カラスマ,Karasuma
マツバ,Matsuba
ベンガラ,Bengara
マチ,Machi
オトベ,Otobe
暗黒の手,Dark Hand
テンスの花,Tens Flower
過去教会の扉,Past Church's Door
チャムール,Chamour
ブデチョ,Budecho
イスター,Istar
狂戦士レギオン,Berserker Legion
道具屋ムルーノ,Item Shop Marouno
宿屋ユン,Innkeep Yun
預かり所キサラ,Storage Kisara
郵便局員ツヅリ,Postman Tsuduri
道具屋ミヤセ,Item Shop Miyase
料理屋イツキ,Server Itsuki
武器屋ルアンベ,Weapon Shop Ruanbe
防具屋シジマ,Armor Shop Shijima
イヨリ大僧正,High Priest Iyori
素材屋モカム,Material Shop Mokam
紹介人ワシナ,Introducer Washina
案内係アサギ,Guide Asagi
取引商クチナシ,Trader Kuchinashi
旅芸人モブ,Entertainer Mob
ヘルガ僧正,Priest Helga
アルノー,Arnoud
バート僧正,Priest Bart
ザホック,Zahokku
ブロンガ,Buronga
アオバ,Aoba
コクヨウ,Yokuyou
ラカ,Raka
マルチャ,Marcha
カラン,Karan
ゲイザー,Gazer
ポルファン,Polfan
師ハジカ,Professor Hajika
コハク,Kohaku
シグルド,Sigurd
天命の戦乙女,Fate's War Maiden
フロッティ,Hrotti
リジン,Rijin
賢人トール,Sage Thor
賢人バルドル,Sage Baldr
賢人フレイヤ,Sage Freya
ハーゲン,Hagen
バロ,Baro
ブルッチ,Burutch
ボラオ,Borao
ハナポッパ,Hanapoppa
シスター・プリミン,Sister Purimin
メロポネス,Meroponesse
しびれくらげ先生,Sir Man o' War
クリスレイ,Christley
プレシアンナ,Prescianna
サルバリータ,Sarubarita
プクリポ研究者１,Pukulipo Researcher 1
プクリポ研究者２,Pukulipo Researcher 2
プクリポ研究者３,Pukulipo Researcher 3
ハッパ,Happa
ハネツキ博士,Dr. Hanetsuki
ラージャ神父,Father Roger
武器屋シャーム,Weapon Shop Shamu
防具屋ユーネリ,Armor Shop Yuuneri
宿屋ローテル,Innkeep Routelle
オーシェ神父,Father Oushe
宿屋ナーミス,Innkeep Narmis
預かり所クイーレ,Storage Quaile
道具屋ノースト,Item Shop Nouste
渡し守ソマーク,Ferryman Somark
タージオ神父,Father Targio
郵便局員シーナ,Postman Shina
宿屋クーミナ,Innkeep Kuumina
預かり所スリーズ,Storage Sleaze
素材屋カシー,Material Shop Cassie
取引商ノーワス,Trader Novas
マスター・ユービア,Master Yubia
素材屋フレーツ,Material Shop Fleets
料理屋リアータ,Server Riatta
武器屋ケルキフ,Weapon Shop Kelkief
防具屋ミーリュ,Armor Shop Mieryu
道具屋ユーフ,Item Shop Yuffe
宿屋キーエル,Innkeep Kielle
道具屋アーグス,Item Shop Argus
預かり所パレーノ,Storage Palenno
エーニル,Eynil
フィーブ,Phebe
防具屋ルーシャ,Armor Shop Rouscha
ウェルジー神父,Father Welge
武器屋ロルフク,Weapon Shop Roarfolk
素材屋ナービュ,Material Shop Nabyu
紹介人アラーニャ,Introducer Aranya
料理屋イニーナ,Server Inina
郵便局員ポエーツォ,Postman Poezzo
アクセ屋カーメロ,Accessory Shop Karmelo
美容師オービエ,Hairdresser Orbie
駅員フランク,Attendant Frank
駅員リフィト,Attendant Rifit
預かり所ルンタ,Storage Runta
シスター・メアリス,Sister Maris
取引商チャック,Trader Chuck
案内係クック,Guide Cooke
マスター・ヴェキオ,Master Vecchio
素材屋ナディ,Material Shop Nadie
取引商リネット,Trader Rinetto
マラーク,Marack
アニータ,Anita
シャノン,Shannon
紹介人ティック,Introducer Tick
預かり所エディス,Storage Edith
宿屋フローリス,Innkeep Fraulisse
シスター・リュリ,Sister Lulie
観戦案内ヴェルト,Watch Guide Velt
受付係クライブ,Receptionist Clive
案内係セラム,Guide Salem
神官モニカ,Priest Monica
紹介人レーライ,Introducer Lerai
ジゼル,Jizelle
リャージ,Ryahji
ロッティ,Rottie
取引商ルーベム,Trader Ruubem
案内係エリーシェ,Guide Elishe
シスレー,Shisure
フォーシア,Foscher
マーキシ,Mahkshi
駅員ルゴール,Attendant Rugolle
神官ジューノ,Priest Jouno
渡し守ディレーク,Ferryman Direkke
渡し守ヤンディー,Ferryman Yandey
駅員ロゲール,Attention Logelle
神官リーヴィ,Priest Levi
渡し守マルーノ,Ferryman Marouno
渡し守バルーク,Ferryman Balouque
渡し守マーギル,Ferryman Margille
渡し守ケーラン,Ferryman Keyran
渡し守ビーゼス,Ferryman Bizethe
渡し守ゼイビー,Ferryman Zeibi
渡し守アリーモス,Ferryman Alimos
渡し守ザイリー,Ferryman Zeiri
渡し守ヤービィ,Ferryman Yabby
渡し守スーティー,Ferryman Sutei
渡し守カリート,Ferryman Calito
渡し守セージィ,Ferryman Seji
渡し守キューラ,Ferryman Keura
渡し守サーンハ,Ferryman Saanha
渡し守ナーウェイ,Ferryman Naawei
渡し守アールフ,Ferryman Aleph
ライナル,Rainal
タギ,Tagi
セインズ,Sainz
ブランドン,Brandon
ゴードン,Gordon
バルケス,Valucas
代理人,Agent
ブリギッテ,Brigette
ジェイコフ,Jakov
クラーク,Clark
リュナン,Lunan
メルポ,Merupo
ゲドル,Gedoru
マギウス,Magus
バヤ,Vaya
バウンズド,Banzudo
グラニザ,Guraniza
ストロング団長,Commander Strong
ディヒド,Dihido
ピチョン,Pichon
マリー,Marii
ジョン,Jon
ガガイ,Gagai
トザン,Tozan
ザッハ,Zaha
ホワ,Howa
パリン,Pauline
ダンデル,Danderu
ザッケス,Zackes
デオルド,Deorudo
ジブラ,Jibura
チョコ神ぬいぐるみ,Choco-God Plushie
ズーボー,Zubo
ニーベル,Nibel
大地の方舟客車,Ark of the Earth
シェリル,Cheryl
旅の商人,Peddler
アーニア,Anya
